strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,6,2,500,15658,15551,165002.01,16185.93,28654,80356,0.93,7532.77,7529.03,64320,0.0,211.86,299.22,0.5,0.67,0.67,113
farthest_package_first_MPA,7,2,500,16687,16516,176108.12,14908.34,29795,81967,0.92,7806.39,7726.47,64800,0.0,170.97,114.86,0.5,0.67,0.61,125
farthest_package_first_MPA,8,2,500,15914,15807,172328.48,16151.91,29085,80879,0.93,7570.77,7624.3,64080,0.0,378.28,111.15,0.5,0.67,0.56,112
farthest_package_first_MPA,9,2,500,16557,16397,169672.49,15418.85,29293,81103,0.92,7673.8,7660.11,64560,0.0,193.19,625.14,0.5,0.67,0.68,87
farthest_package_first_MPA,0,3,50,1721,1628,26166.93,2666.5,3061,8586,0.93,927.41,916.96,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,1,3,50,1848,1778,30576.35,2555.4,3215,9019,0.94,937.67,959.16,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,2,3,50,2089,2000,30550.17,2669.4,3269,9020,0.92,965.4,944.34,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,3,3,50,1742,1636,28658.21,2277.62,3114,8832,0.95,917.35,909.88,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,4,3,50,1729,1603,25732.29,2663.82,3082,8538,0.92,925.1,913.5,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,5,3,50,2408,2302,28270.23,2640.25,3324,8910,0.89,1053.95,1052.18,6120,0.0,-10,8.0,0.5,-10,0.5,0
farthest_package_first_MPA,6,3,50,1895,1799,33460.86,2172.82,3416,9549,0.93,978.98,964.6,6240,0.0,0.0,310.0,0.5,0.33,0.5,0
farthest_package_first_MPA,7,3,50,1915,1794,30562.37,2737.84,3218,9255,0.96,1007.91,977.4,6240,0.0,0.0,63.0,0.5,0.33,0.5,0
farthest_package_first_MPA,8,3,50,2080,1946,27496.78,3099.96,3294,8717,0.88,986.32,942.48,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,9,3,50,1967,1882,28164.89,2959.0,3404,8902,0.87,977.53,965.08,6120,0.0,0.0,707.0,0.5,0.33,0.5,0
farthest_package_first_MPA,0,3,100,3635,3537,57103.15,2646.48,6129,17880,0.97,1844.85,1796.43,12240,0.0,0.0,213.0,0.5,0.33,0.5,0
farthest_package_first_MPA,1,3,100,3368,3268,57972.98,2508.64,6227,18078,0.97,1783.19,1756.75,12360,0.0,0.0,379.0,0.5,0.33,0.5,0
farthest_package_first_MPA,2,3,100,3395,3292,58406.09,2630.99,6228,18249,0.98,1775.85,1758.25,12480,0.0,0.0,204.25,0.5,0.33,0.5,0
farthest_package_first_MPA,3,3,100,3154,3066,53997.02,2031.3,5966,17690,0.99,1695.41,1690.83,12360,0.0,0.0,260.33,0.5,0.33,0.5,0
farthest_package_first_MPA,4,3,100,3499,3418,53575.08,2404.78,6045,17400,0.96,1704.52,1697.37,12120,0.0,0.0,227.0,0.5,0.33,0.5,0
farthest_package_first_MPA,5,3,100,3360,3242,56488.37,2856.36,6072,17576,0.96,1698.39,1703.02,12000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,6,3,100,3408,3320,57371.63,2495.48,6171,17906,0.97,1811.89,1699.09,12240,0.0,0.0,409.5,0.5,0.33,0.5,0
farthest_package_first_MPA,7,3,100,3555,3466,56192.51,2271.2,6088,17666,0.97,1731.27,1728.81,12120,0.0,0.0,614.0,0.5,0.33,0.5,0
farthest_package_first_MPA,8,3,100,3377,3276,56464.81,2586.48,5995,17696,0.98,1757.43,1735.51,12120,0.0,0.0,309.0,0.5,0.33,0.5,0
farthest_package_first_MPA,9,3,100,3570,3458,60386.63,2681.72,6436,18200,0.94,1784.4,1763.15,12240,0.0,0.0,939.5,0.5,0.33,0.5,0
farthest_package_first_MPA,0,3,200,6097,5952,74402.52,6432.7,11062,31778,0.96,3069.67,3061.07,24480,0.0,0.0,304.5,0.5,0.33,0.5,0
farthest_package_first_MPA,1,3,200,5884,5754,77727.62,6335.12,10914,31987,0.98,3043.15,2992.99,24360,0.0,0.0,215.33,0.5,0.33,0.5,0
